축제명,그룹명,개최년도,구분명,지표값
2025 논산딸기축제,축제기간,2025,외부방문자 유입,0.47
2025 논산딸기축제,축제기간,2025,현지인방문자 유입,0.706
2025 논산딸기축제,축제기간,2025,관광소비,0.729
2025 논산딸기축제,비축제기간,2025,외부방문자 유입,0.315
2025 논산딸기축제,비축제기간,2025,현지인방문자 유입,0.765
2025 논산딸기축제,비축제기간,2025,관광소비,0.465
제28회 보령머드축제,축제기간,2025,외부방문자 유입,0.468
제28회 보령머드축제,축제기간,2025,현지인방문자 유입,0.821
제28회 보령머드축제,축제기간,2025,관광소비,0.425
제28회 보령머드축제,비축제기간,2025,외부방문자 유입,0.293
제28회 보령머드축제,비축제기간,2025,현지인방문자 유입,0.737
제28회 보령머드축제,비축제기간,2025,관광소비,0.286
천안흥타령춤축제,축제기간,2025,외부방문자 유입,0.784
천안흥타령춤축제,축제기간,2025,현지인방문자 유입,0.971
천안흥타령춤축제,축제기간,2025,관광소비,0.701
천안흥타령춤축제,비축제기간,2025,외부방문자 유입,0.509
천안흥타령춤축제,비축제기간,2025,현지인방문자 유입,0.814
천안흥타령춤축제,비축제기간,2025,관광소비,0.693
2025 괴산고추축제,축제기간,2025,외부방문자 유입,0.589
2025 괴산고추축제,축제기간,2025,현지인방문자 유입,0.871
2025 괴산고추축제,축제기간,2025,관광소비,0.562
2025 괴산고추축제,비축제기간,2025,외부방문자 유입,0.418
2025 괴산고추축제,비축제기간,2025,현지인방문자 유입,0.678
2025 괴산고추축제,비축제기간,2025,관광소비,0.613
제56회 영동난계국악축제,축제기간,2025,외부방문자 유입,0.382
제56회 영동난계국악축제,축제기간,2025,현지인방문자 유입,0.85
제56회 영동난계국악축제,축제기간,2025,관광소비,0.564
제56회 영동난계국악축제,비축제기간,2025,외부방문자 유입,0.258
제56회 영동난계국악축제,비축제기간,2025,현지인방문자 유입,0.844
제56회 영동난계국악축제,비축제기간,2025,관광소비,0.483
제26회 음성품바축제,축제기간,2025,외부방문자 유입,0.688
제26회 음성품바축제,축제기간,2025,현지인방문자 유입,0.929
제26회 음성품바축제,축제기간,2025,관광소비,0.725
제26회 음성품바축제,비축제기간,2025,외부방문자 유입,0.353
제26회 음성품바축제,비축제기간,2025,현지인방문자 유입,0.755
제26회 음성품바축제,비축제기간,2025,관광소비,0.721
