지점,지점명,일시,평균기온(°C),일강수량(mm),축제명
236,부여,2025-03-27,14.4,1.4,2025 논산딸기축제
236,부여,2025-03-28,7,0.1,2025 논산딸기축제
236,부여,2025-03-29,2.6,0,2025 논산딸기축제
236,부여,2025-03-30,3.1,,2025 논산딸기축제
235,보령,2025-07-25,29.6,,제28회 보령머드축제
235,보령,2025-07-26,30.2,,제28회 보령머드축제
235,보령,2025-07-27,30.2,1.2,제28회 보령머드축제
235,보령,2025-07-28,29.8,3.8,제28회 보령머드축제
235,보령,2025-07-29,29.7,,제28회 보령머드축제
235,보령,2025-07-30,29.9,,제28회 보령머드축제
235,보령,2025-07-31,30,,제28회 보령머드축제
235,보령,2025-08-01,29.3,,제28회 보령머드축제
235,보령,2025-08-02,29.6,,제28회 보령머드축제
235,보령,2025-08-03,26.8,78.4,제28회 보령머드축제
235,보령,2025-08-04,27.1,18.6,제28회 보령머드축제
235,보령,2025-08-05,27.9,0.8,제28회 보령머드축제
235,보령,2025-08-06,27.4,3.8,제28회 보령머드축제
235,보령,2025-08-07,26.7,,제28회 보령머드축제
235,보령,2025-08-08,25.3,,제28회 보령머드축제
235,보령,2025-08-09,24.4,1,제28회 보령머드축제
235,보령,2025-08-10,25.8,,제28회 보령머드축제
232,천안,2025-09-24,21.5,14.2,천안흥타령춤축제
232,천안,2025-09-25,21.2,4.3,천안흥타령춤축제
232,천안,2025-09-26,19.7,,천안흥타령춤축제
232,천안,2025-09-27,21.4,,천안흥타령춤축제
232,천안,2025-09-28,19.8,33.1,천안흥타령춤축제
127,충주,2025-09-04,26.1,0,2025 괴산고추축제
127,충주,2025-09-05,27.3,,2025 괴산고추축제
127,충주,2025-09-06,27.4,0.9,2025 괴산고추축제
127,충주,2025-09-07,24.5,2.2,2025 괴산고추축제
135,추풍령,2025-09-12,20.9,23.5,제56회 영동난계국악축제
135,추풍령,2025-09-13,23.6,11,제56회 영동난계국악축제
135,추풍령,2025-09-14,22.7,1.9,제56회 영동난계국악축제
135,추풍령,2025-09-15,24,,제56회 영동난계국악축제
135,추풍령,2025-09-16,25.6,0,제56회 영동난계국악축제
135,추풍령,2025-09-17,23.4,18.6,제56회 영동난계국악축제
135,추풍령,2025-09-18,20.1,0.7,제56회 영동난계국악축제
135,추풍령,2025-09-19,18.7,1.5,제56회 영동난계국악축제
135,추풍령,2025-09-20,19.2,39.7,제56회 영동난계국악축제
135,추풍령,2025-09-21,19.3,,제56회 영동난계국악축제
135,추풍령,2025-09-22,17.9,,제56회 영동난계국악축제
135,추풍령,2025-09-23,19,0.3,제56회 영동난계국악축제
135,추풍령,2025-09-24,21,2.6,제56회 영동난계국악축제
135,추풍령,2025-09-25,21.9,15.4,제56회 영동난계국악축제
135,추풍령,2025-09-26,20.3,0,제56회 영동난계국악축제
135,추풍령,2025-09-27,20.3,,제56회 영동난계국악축제
135,추풍령,2025-09-28,19.6,11,제56회 영동난계국악축제
135,추풍령,2025-09-29,18.3,,제56회 영동난계국악축제
135,추풍령,2025-09-30,17.4,,제56회 영동난계국악축제
135,추풍령,2025-10-01,17.7,,제56회 영동난계국악축제
135,추풍령,2025-10-02,18.1,0,제56회 영동난계국악축제
135,추풍령,2025-10-03,17.3,22.7,제56회 영동난계국악축제
135,추풍령,2025-10-04,19.2,2.5,제56회 영동난계국악축제
135,추풍령,2025-10-05,20.4,3.5,제56회 영동난계국악축제
135,추풍령,2025-10-06,18.4,30.2,제56회 영동난계국악축제
135,추풍령,2025-10-07,18.2,29.6,제56회 영동난계국악축제
135,추풍령,2025-10-08,19.6,0.1,제56회 영동난계국악축제
135,추풍령,2025-10-09,18.4,0,제56회 영동난계국악축제
135,추풍령,2025-10-10,18.5,,제56회 영동난계국악축제
135,추풍령,2025-10-11,20.6,,제56회 영동난계국악축제
127,충주,2025-06-11,21.5,,제26회 음성품바축제
127,충주,2025-06-12,22.8,,제26회 음성품바축제
127,충주,2025-06-13,21.3,5,제26회 음성품바축제
127,충주,2025-06-14,23.3,10.5,제26회 음성품바축제
127,충주,2025-06-15,26.5,3.8,제26회 음성품바축제
